Charger Type,Charging End Time,Charging Start Time,City,Installation Date,Month,Operational Status,Payment Mode,Session ID,Station ID,Total Sessions,User ID,Vehicle Type,Average Energy Per Session,Billed Amount INR,Charging Duration min,Energy Delivered kWh,Latitude,Longitude,No of Ports,Power Rating kW,Year
DC Fast,10-04-2022 13:29,10-04-2022 12:50,Pune,12-09-2023,April,Inactive,Wallet,SESS0227,STN195,SESS0227,USR8983,Bus,154.52,1147.1,39,154.52,18.684506,75.871074,6,15,2022
AC Slow,18-04-2022 06:47,18-04-2022 05:27,Pune,17-07-2022,April,Inactive,Net Banking,SESS0138,STN135,SESS0138,USR1629,3W,213.89,1553.02,80,213.89,17.098494,73.872654,3,3.3,2022
AC Slow,13-04-2022 04:36,13-04-2022 02:29,Pune,17-07-2022,April,Inactive,Net Banking,SESS0138,STN135,SESS0138,USR1629,3W,248.82,1036.56,127,248.82,17.098494,73.872654,3,3.3,2022
AC Fast,09-02-2022 15:10,09-02-2022 14:11,Delhi,29-12-2022,February,Inactive,UPI,SESS0208,STN119,SESS0208,USR1815,2W,169.62,1963.06,59,169.62,17.520635,77.632147,2,3.3,2022
AC Slow,16-05-2022 04:46,16-05-2022 02:54,Bangalore,08-05-2021,May,Active,Credit Card,SESS0300,STN157,SESS0300,USR5643,2W,282.32,1549.25,112,282.32,18.683427,77.02748,6,120,2022
DC Fast,07-05-2022 15:26,07-05-2022 13:50,Delhi,06-07-2021,May,Inactive,Credit Card,SESS0064,STN118,SESS0064,USR6733,4W,41.96,387.47,96,41.96,17.982507,75.593393,3,50,2022
DC Fast,12-06-2022 09:15,12-06-2022 07:29,Mumbai,19-03-2021,June,Inactive,UPI,SESS0262,STN155,SESS0262,USR7187,2W,138.7,1128.84,106,138.7,17.651673,73.812158,4,120,2022
DC Fast,13-09-2022 04:43,13-09-2022 03:00,Mumbai,02-07-2021,September,Inactive,UPI,SESS0284,STN123,SESS0284,USR1574,2W,239.9,2305.03,103,239.9,17.535066,75.758859,5,15,2022
DC Fast,21-07-2022 05:04,21-07-2022 03:06,Mumbai,14-08-2021,July,Inactive,Credit Card,SESS0058,STN152,SESS0058,USR3522,4W,157.3,1750.62,118,157.3,18.746877,75.199157,3,7.4,2022
AC Slow,16-05-2022 01:51,15-05-2022 22:58,Pune,07-08-2023,May,Inactive,Wallet,SESS0207,STN159,SESS0207,USR7237,3W,235.07,1553.87,173,235.07,17.193739,74.510422,4,7.4,2022
